ID,Categoria,Perfil,Caso de Teste,Passos (resumo),Resultado Esperado,Status,Resultado Obtido,Evidencia,Prioridade
M1-14,Radar,Publico/Flogado,Nao fui remove do radar,"1) Clicar Nao fui",Evento sai do Radar sem gravar historico,,,
M1-15,Historico,Publico/Flogado,Visual de historico e conquistas,"1) Abrir Historico; 2) Conferir lista e progresso",Historico e progresso de conquistas coerentes,,,
M1-16,Pela Hora,Publico/Flogado,Criar plano manual,"1) Definir nome/data; 2) Selecionar 2+ eventos; 3) Salvar",Plano salvo com timeline/risco/deslocamento,,,
M1-17,Pela Hora,Publico/Flogado,Excluir plano salvo,"1) Abrir planos salvos; 2) Excluir",Plano removido sem erro de integridade,,,
M2-01,Artista,Publico,Perfil oficial do artista,"1) Abrir pagina do artista; 2) Ver avatar/nome/selo/bio",Layout renderiza clean e consistente,,,
M2-02,Artista,Usuario logado,Follow/Unfollow,"1) Clicar Follow; 2) Clicar novamente",Estado alterna e persiste,,,
M2-03,Artista,Publico,Proximos shows navegaveis,"1) Clicar show da lista",Abre detalhe do evento correspondente,,,
M3-01,Gestor/Casa,Gestor,Contexto da unidade ativa,"1) Login gestor; 2) Validar unidade ativa",Cabecalho/contexto deixam claro qual unidade esta sendo gerida,,,
M3-02,Gestor/Casa,Gestor,Criar evento simples,"1) Preencher campos obrigatorios; 2) Salvar",Evento criado e visivel no front,,,
M3-03,Gestor/Casa,Gestor,Politica de preco (gratis/pago/consumacao),"1) Configurar tipo de preco; 2) Salvar; 3) Validar card",Label de preco renderiza corretamente no front,,,
M3-04,Gestor/Casa,Gestor,Evento recorrente,"1) Marcar recorrencia; 2) Selecionar dias; 3) Salvar",Ocorrencias futuras aparecem corretamente,,,
M3-05,Gestor/Casa,Gestor,Excecao de recorrencia,"1) Informar data de excecao; 2) Salvar",Data excecao nao aparece no front,,,
M4-01,Produtor,Produtor,Enviar reivindicacao de casa/artista,"1) Abrir painel produtor; 2) Enviar claim",Claim criado com status pendente,,,
M4-02,Produtor,Produtor,Permissao antes da aprovacao,"1) Tentar editar item nao aprovado",Acesso bloqueado conforme regra,,,
M4-03,Produtor,Produtor,Permissao apos aprovacao,"1) Admin aprova; 2) Produtor edita item da carteira",Acesso liberado apenas para itens aprovados,,,
M5-01,Admin,Admin,Navegar menu lateral de gestao,"1) Abrir secoes Visao/Casas/Artistas/Gestores/Claims/Eventos",Sem scroll infinito confuso; secoes isoladas funcionando,,,
M5-02,Admin,Admin,Marcar artista verificado,"1) Editar artista; 2) Marcar verificado; 3) Salvar",Flag persiste e selo aparece no front,,,
M5-03,Admin,Admin,Aprovar/Rejeitar claims,"1) Abrir claims pendentes; 2) Decidir",Status atualizado e permissao refletida,,,
M5-04,Admin,Admin,Criar e vincular gestor,"1) Criar gestor; 2) Vincular a casa",Vinculo criado e visivel na casa correta,,,
M6-01,Ads,Admin,Criar campanha,"1) Abrir Ads; 2) Nova campanha",Campanha criada,,,
M6-02,Ads,Admin,Criar criativo por slot,"1) Selecionar campanha; 2) Criar criativo",Criativo ativo no slot correto,,,
M6-03,Ads,Admin,Metricas e export CSV,"1) Abrir relatorios; 2) Exportar",Impressao/clique/CTR e CSV funcionando,,,
M7-01,Seguranca,Publico,Tentar rota admin sem permissao,"1) Abrir URL admin deslogado",Recebe bloqueio 401/403,,,
M7-02,Seguranca,Produtor,Tentar editar item fora da carteira,"1) Forcar edicao por URL/acao",Bloqueio de permissao,,,
M7-03,Seguranca,Casa/Gestor,Tentar acao global indevida,"1) Tentar excluir item global",Bloqueio de permissao,,,
M8-01,Mobile,QA,Bottom nav sem quebra,"1) Simular 360x800/390x844",Sem quebra de linha e sem overflow,,,
M8-02,Mobile,QA,Cards e modais responsivos,"1) Explorar/Radar/Evento; 2) Abrir modais",Sem sobreposicao critica,,,
M8-03,Mobile,QA,Teclado em formularios,"1) Abrir Settings/Pela Hora",Campos acessiveis sem layout quebrado,,,
M9-01,Smoke,QA,Jornada ponta-a-ponta,"1) Explorar -> Casa -> Evento -> Radar -> Historico",Fluxo completo sem erro bloqueante,,,
